,Papel,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses
18,SUZB3,35.4,-17.1,2.68,1.8519999999999999,0.0126,0.49200000000000005,6.51,22.0,-0.79,46.77,15.45,0.0842,-0.1082,1.65,0.0254,-0.1568,345985000.0
19,BAHI3,70.0,-16.93,1.28,2.928,0.0,0.813,8.15,-14.73,-11.69,-11.27,-12.66,-0.1988,-0.1778,1.57,-0.0741,-0.0754,58140.8
20,PMAM3,9.45,-16.36,0.66,0.078,0.0,0.106,1.83,-5.93,-0.25,-36.02,29.96,-0.0132,-0.0048,1.17,-0.0213,-0.0404,3407360.0
21,MGEL4,5.3,-14.1,-0.08,0.055,0.0,0.084,0.22,0.52,-0.06,11.03,8.39,0.105,-0.0116,3.05,0.1974,0.0059,162339.0
22,IDVL3,1.8,-13.66,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0298,92643.3
23,TELB3,62.0,-12.95,1.87,15.057,0.0,0.716,3.25,-10.06,-2.09,-8.17,-21.82,-1.4969,-1.1629,5.04,-0.09,-0.1442,18210.7
24,AMAR3,5.22,-12.16,0.96,0.474,0.0,0.34,1.65,3.47,-6.08,5.48,2.99,0.1366,-0.039,1.54,0.1427,-0.0791,43791900.0
25,RANI4,5.7,-11.94,2.82,1.057,0.004,0.602,12.95,7.71,-1.29,13.62,6.84,0.1371,-0.0886,1.17,0.0893,-0.2365,289420.0
26,HBOR3,1.67,-10.73,0.89,0.866,0.0,0.24100000000000002,0.5,-23.51,2.4,-42.88,-53.03,-0.0368,-0.0807,2.75,-0.0119,-0.0833,29035800.0
27,BIOM3,9.71,-10.57,3.84,65.964,0.0,1.518,6.76,-13.26,-6.77,-14.4,-14.4,-4.9753,-6.2402,2.44,-0.1818,-0.3635,363567.0
28,PLAS3,5.0,-9.1,-0.86,0.152,0.0,0.098,-0.35,-1.21,-0.11,-4.68,26.32,-0.1261,-0.0167,0.44,-0.0869,0.0945,21192.9
29,BOBR4,1.38,-8.88,-1.26,0.33899999999999997,0.0,0.547,-1.8,3.61,-0.53,6.64,5.34,0.0939,-0.0382,0.57,0.1888,0.142,795820.0
30,MSPA3,45.0,-7.88,0.33,2.3680000000000003,0.0089,0.201,4.18,-8.92,-0.66,-9.17,-16.31,-0.2654,-0.3006,2.65,-0.0234,-0.0414,1071.43
31,CRDE3,28.98,-7.51,0.45,2.079,0.3561,0.405,1.09,-9.22,1.25,-1.18,-1.18,-0.2254,-0.2936,9.43,-0.0695,-0.0592,23317.8
32,TCNO3,1.37,-7.25,6.06,8.962,0.0,0.039,0.0,-1.32,0.0,-6.16,-7.17,-6.7698,-1.2362,0.0,0.0,-0.8357,34589.6
33,ETER3,2.65,-6.66,-29.84,0.172,0.0,0.154,21.15,-1.64,-0.27,-3.67,-5.75,-0.105,-0.0258,1.02,-0.1077,4.4816,2034700.0
34,RANI3,3.0,-6.28,1.49,0.556,0.0076,0.317,6.82,4.06,-0.68,9.97,5.01,0.1371,-0.0886,1.17,0.0893,-0.2365,744978.0
35,CTKA3,12.0,-5.99,-0.27,0.221,0.0,0.196,0.67,2.66,-0.18,20.79,14.85,0.0829,-0.0369,1.95,0.0841,0.0456,3659.55
36,MNDL3,24.8,-5.94,-0.42,0.127,0.0,0.059000000000000004,-0.1,1.69,-0.07,7.14,5.22,0.0751,-0.0213,0.29,0.037000000000000005,0.0713,11658.4
37,MDNE3,6.43,-5.67,6.7,1.339,0.0,0.243,-12.57,6.43,-0.56,19.51,18.86,0.2084,-0.2431,0.96,0.0389,-1.1829,18171800.0
38,EMBR3,9.63,-5.42,0.5,0.6809999999999999,0.0,0.16699999999999998,0.81,23.34,1.1,7.85,2.13,0.0292,-0.1236,1.34,0.0085,-0.0929,77099300.0
